AP MAC,AP Name,Status,IP Address,Total Traffic Byte (1hr),Clients,Clients (2.4G),Clients (5G),Connection Failures,Model,Channel (2.4G),Channel (5G),Zone,AP Group,Configuration Status,Last Seen,WLAN Group (2.4G),WLAN Group (5G)
18:7C:0B:30:BE:F0,ap.5.a1,Online,172.16.0.15,972040,0,0,0,0,R610,11 (20MHz),52 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_5,WG_Def_5
18:7C:0B:30:BF:00,ap.6.a3,Online,172.16.0.21,0,0,0,0,0,R610,6 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:06,WG_Def_6,WG_Def_6
18:7C:0B:30:C8:B0,ap.6.a4,Online,172.16.0.22,301173719,4,1,3,0,R610,1 (20MHz),60 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_6,WG_Def_6
18:7C:0B:30:C9:30,ap.5.a6,Online,172.16.0.20,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_5,WG_Def_5
18:7C:0B:30:CE:00,ap.6.a1,Online,172.16.0.16,407352,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:06,WG_Def_6,WG_Def_6
18:7C:0B:30:CE:C0,ap.00.02,Online,172.16.0.13,704480,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,default,default
18:7C:0B:30:CF:50,ap.6.a5,Online,172.16.0.39,0,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:06,WG_Def_6,WG_Def_6
18:7C:0B:30:D0:60,ap.5.a5,Online,172.16.0.59,0,0,0,0,0,R610,1 (20MHz),52 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_5,WG_Def_5
18:7C:0B:30:D2:50,ap.6.a2,Online,172.16.0.58,0,0,0,0,0,R610,1 (20MHz),60 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_6,WG_Def_6
18:7C:0B:30:D2:60,ap.5.a2,Online,172.16.0.35,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_5,WG_Def_5
18:7C:0B:30:D3:30,ap.7.a3,Online,172.16.0.24,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_7,WG_Def_7
18:7C:0B:30:D3:60,ap.00.01,Online,172.16.0.14,384900,0,0,0,0,R610,11 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,default,default
20:58:69:05:00:60,ap.4.a6,Online,172.16.0.113,453071,0,0,0,1,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_4,WG_Def_4
20:58:69:05:03:10,ap.29.a1,Online,172.16.0.72,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_29,WG_Def_29
20:58:69:05:05:20,ap.19.a4,Online,172.16.0.106,9098752,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_19,WG_Def_19
20:58:69:05:06:80,ap.28.a1,Online,172.16.0.76,0,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_28,WG_Def_28
20:58:69:05:07:A0,ap.31.a1,Online,172.16.0.79,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_31,WG_Def_31
20:58:69:05:08:60,ap.5.a3,Online,172.16.0.34,0,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_5,WG_Def_5
20:58:69:05:09:20,ap.29.a6,Online,172.16.0.53,53890,0,0,0,0,R610,6 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_36,WG_Def_36
20:58:69:05:09:30,ap.5.a4,Online,172.16.0.36,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_5,WG_Def_5
20:58:69:05:0B:D0,ap.31.a4,Online,172.16.0.80,66786853,5,4,1,0,R610,6 (20MHz),52 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_31,WG_Def_31
20:58:69:05:0C:10,ap.4.a1,Online,172.16.0.111,46797244,1,1,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_4,WG_Def_4
20:58:69:05:0C:D0,ap.4.a4-?,Online,172.16.0.114,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_4,WG_Def_4
20:58:69:05:11:60,ap.7.a4,Online,172.16.0.42,14268215,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:06,WG_Def_7,WG_Def_7
20:58:69:05:11:70,ap.30.a1,Online,172.16.0.77,20074,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_30,WG_Def_30
20:58:69:05:13:C0,ap.28.a4,Online,172.16.0.107,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_28,WG_Def_28
20:58:69:05:1A:B0,ap.40.a1,Offline,172.16.0.116,,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,New Configuration,12/26/2019 9:58,,
20:58:69:05:1A:C0,ap.18.a4,Online,172.16.0.105,0,0,0,0,0,R610,6 (20MHz),52 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,WG_Def_18,WG_Def_18
20:58:69:05:1D:00,ap.21.a1,Online,172.16.0.90,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_21,WG_Def_21
20:58:69:05:1F:50,ap.22.a4,Online,172.16.0.27,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_22,WG_Def_22
20:58:69:05:1F:D0,ap.17.a4,Online,172.16.0.54,13693,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_17,WG_Def_17
20:58:69:05:20:40,RuckusAP,Offline,172.16.0.43,,0,0,0,0,R610,11 (20MHz),64 (80MHz),Client001,default,New Configuration,7/1/2019 8:52,,
20:58:69:05:22:40,ap.20.a4,Online,172.16.0.32,0,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_20,WG_Def_20
20:58:69:05:22:B0,ap.20.a1,Online,172.16.0.28,2304,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_20,WG_Def_20
20:58:69:05:24:40,ap.23.a4,Online,172.16.0.98,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_23,WG_Def_23
20:58:69:05:25:60,ap.19.a3,Online,172.16.0.115,110055871,4,1,3,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_19,WG_Def_19
20:58:69:05:25:D0,ap.22.a1,Online,172.16.0.92,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_22,WG_Def_22
20:58:69:05:28:60,ap.30.a4,Online,172.16.0.85,11580794,1,1,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_30,WG_Def_30
20:58:69:05:2B:10,ap.19.a1,Online,172.16.0.11,1747964,0,0,0,0,R610,11 (20MHz),52 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_19,WG_Def_19
20:58:69:05:2E:20,ap.34.a1,Online,172.16.0.87,0,0,0,0,0,R610,6 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,WG_Def_34,WG_Def_34
20:58:69:05:32:40,ap.4.a3-?,Online,172.16.0.112,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_4,WG_Def_4
20:58:69:05:32:A0,ap.21.a4,Online,172.16.0.93,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_22,WG_Def_22
20:58:69:05:33:00,ap.35.a4,Online,172.16.0.55,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,WG_Def_35,WG_Def_35
20:58:69:05:33:50,ap.29.a4,Online,172.16.0.38,3892694,1,1,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_29,WG_Def_29
20:58:69:05:34:D0,ap.37.a4,Online,172.16.0.57,0,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_37,WG_Def_37
20:58:69:05:35:D0,ap.36.a1,Online,172.16.0.52,0,0,0,0,0,R610,11 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_36,WG_Def_36
20:58:69:05:37:60,ap.11.a4,Online,172.16.0.51,0,0,0,0,0,R610,1 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,WG_Def_11,WG_Def_11
20:58:69:05:37:80,ap.7.a2,Online,172.16.0.45,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:05,WG_Def_7,WG_Def_7
20:58:69:05:37:B0,ap.35.a1,Online,172.16.0.109,0,0,0,0,0,R610,1 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:03,WG_Def_35,WG_Def_35
20:58:69:05:37:F0,ap.34.a4,Online,172.16.0.108,0,0,0,0,0,R610,6 (20MHz),36 (40MHz),Client001,default,Up-to-date,1/26/2020 10:06,WG_Def_34,WG_Def_34
20:58:69:05:39:10,ap.18.a1,Online,172.16.0.100,0,0,0,0,0,R610,6 (20MHz),44 (40MHz),Client001,default,Up-to-date,1/26/2020 10:04,WG_Def_18,WG_Def_18
