switchName,macAddress,ipAddress,firmwareVersion,status,groupName,model,firmwareUpdate,upTime,ports,portStatus,registrationStatus,alarm,poe,serialNumber,defaultGateway,lastBackupTime
BB02 (01) (Standalone),D4:C1:9E:0C:1D:80,172.16.0.73,SPS08090b,ONLINE,Client001,ICX7450-48GF,N/A,159 days 22:36:50.00,52,26 2 26,APPROVED,0,0/0 watt,CYS3331P014,172.16.0.1,1581991810527
BB01 (01) (Standalone),D4:C1:9E:0D:42:40,172.16.0.71,SPS08090b,ONLINE,Client001,ICX7450-48GF,N/A,181 days 3:06:49.00,52,24 1 28,APPROVED,1,0/0 watt,CYS3335P020,172.16.0.1,1581992100633
SW-01-Rack1B (01) (Standalone),D4:C1:9E:45:DF:60,172.16.0.69,SPS08090b,ONLINE,Client001,ICX7150-24P,N/A,43 days 20:36:36.00,30,10 1 1,APPROVED,0,0/370000 watt,FEA3804Q19B,172.16.0.1,1581989703071
SW41 (01) (Standalone),D4:C1:9E:45:F1:E0,172.16.0.63,SPS08090b,ONLINE,Client001,ICX7150-24P,Last Modified: 1564314849720,49 days 5:58:41.00,30,13 0 12,APPROVED,1,0/370000 watt,FEA3804Q19N,172.16.0.1,1581992100475
SW-01-CTRL-Room (01) (Standalone),D4:C1:9E:45:C4:E0,172.16.0.37,SPS08090b,ONLINE,Client001,ICX7150-24P,failed,166 days 22:22:52.00,30,12 1 3,APPROVED,0,30800/370000 watt,FEA3804Q19V,172.16.0.1,1581991810493
SW29-CUS-EHControl (01) (Standalone),D4:C1:9E:45:B4:C0,172.16.0.118,SPS08090b.bin,OFFLINE,Client001,ICX7150-24P,failed,17 days 12:10:26.00,30,9 11 17,APPROVED,1,77000/370000 watt,FEA3804Q19W,172.16.0.1,1581732900455
SW04 (01) (Standalone),D4:C1:9E:45:EE:00,172.16.0.94,SPS08090b,ONLINE,Client001,ICX7150-24P,failed,90 days 17:39:53.00,30,11 1 3,APPROVED,0,92400/370000 watt,FEA3804Q1AB,172.16.0.1,1581991810562
SW-01-Building-MGT (01) (Standalone),D4:C1:9E:45:EA:80,172.16.0.64,SPS08090b,ONLINE,Client001,ICX7150-24P,N/A,145 days 15:39:39.00,30,23 6 2,APPROVED,0,123200/370000 watt,FEA3804Q1AX,172.16.0.1,1581992100429
SW-01-Rack1A (01) (Standalone),D4:C1:9E:45:EC:20,172.16.0.62,SPS08090b,ONLINE,Client001,ICX7150-24P,N/A,144 days 4:06:05.00,30,24 9 1,APPROVED,1,28471/370000 watt,FEA3804Q1AZ,172.16.0.1,1581992100356
SW37 (01) (Standalone),D4:C1:9E:45:C6:A0,172.16.0.78,SPS08090b,ONLINE,Client001,ICX7150-24P,N/A,90 days 7:50:23.00,30,4 0 7,APPROVED,1,15400/370000 watt,FEA3804Q1B4,172.16.0.1,1581991810554
